Datetime,Discharge_ML_day,QC
26/10/1992 00:00:00,3409.201,1
27/10/1992 00:00:00,2903.336,1
28/10/1992 00:00:00,2488.963,1
29/10/1992 00:00:00,2114.715,1
30/10/1992 00:00:00,1824.659,1
31/10/1992 00:00:00,1609.292,1
01/11/1992 00:00:00,1663.19,1
02/11/1992 00:00:00,1998.681,1
03/11/1992 00:00:00,1966.317,1
04/11/1992 00:00:00,1932.72,1
05/11/1992 00:00:00,1714.83,1
06/11/1992 00:00:00,2984.222,1
07/11/1992 00:00:00,9154.253,1
08/11/1992 00:00:00,8148.146,1
09/11/1992 00:00:00,4778.792,1
10/11/1992 00:00:00,3479.018,1
11/11/1992 00:00:00,2615.706,1
12/11/1992 00:00:00,2072.064,1
13/11/1992 00:00:00,1870.632,1
14/11/1992 00:00:00,1696.449,1
15/11/1992 00:00:00,1564.939,1
16/11/1992 00:00:00,1523.222,1
17/11/1992 00:00:00,1396.399,1
18/11/1992 00:00:00,1555.692,1
19/11/1992 00:00:00,,255
20/11/1992 00:00:00,,255
21/11/1992 00:00:00,,255
22/11/1992 00:00:00,,255
23/11/1992 00:00:00,,255
24/11/1992 00:00:00,,255
25/11/1992 00:00:00,,255
26/11/1992 00:00:00,,255
27/11/1992 00:00:00,1973.263,1
28/11/1992 00:00:00,1692.659,1
29/11/1992 00:00:00,1665.226,1
30/11/1992 00:00:00,1610.491,1
01/12/1992 00:00:00,1794.683,1
02/12/1992 00:00:00,1666.068,1
03/12/1992 00:00:00,1431.006,1
04/12/1992 00:00:00,1230.82,1
05/12/1992 00:00:00,1175.943,1
06/12/1992 00:00:00,7586.728,1
07/12/1992 00:00:00,15315.228,1
08/12/1992 00:00:00,20512.298,1
09/12/1992 00:00:00,19968.658,1
10/12/1992 00:00:00,10548.709,1
11/12/1992 00:00:00,7319.482,1
12/12/1992 00:00:00,5549.623,1
13/12/1992 00:00:00,4337.45,1
14/12/1992 00:00:00,3462.275,1
15/12/1992 00:00:00,2938.355,1
16/12/1992 00:00:00,3209.389,1
17/12/1992 00:00:00,2628.913,1
18/12/1992 00:00:00,2382.491,1
19/12/1992 00:00:00,2288.996,1
20/12/1992 00:00:00,2224.931,1
21/12/1992 00:00:00,2435.891,1
22/12/1992 00:00:00,2115.395,1
23/12/1992 00:00:00,2291.879,1
24/12/1992 00:00:00,3601.508,1
25/12/1992 00:00:00,5271.966,1
26/12/1992 00:00:00,4129.967,1
27/12/1992 00:00:00,3465.453,1
28/12/1992 00:00:00,3092.66,1
29/12/1992 00:00:00,2374.966,1
30/12/1992 00:00:00,1755.474,1
31/12/1992 00:00:00,1449.999,1
01/01/1993 00:00:00,1257.044,1
02/01/1993 00:00:00,1135.39,1
03/01/1993 00:00:00,1040.321,1
04/01/1993 00:00:00,1385.49,1
05/01/1993 00:00:00,1788.852,1
06/01/1993 00:00:00,1411.289,1
07/01/1993 00:00:00,2185.404,1
08/01/1993 00:00:00,1502.967,1
09/01/1993 00:00:00,1165.535,1
10/01/1993 00:00:00,1071.917,1
11/01/1993 00:00:00,964.559,1
12/01/1993 00:00:00,825.729,1
13/01/1993 00:00:00,753.254,1
14/01/1993 00:00:00,698.496,1
15/01/1993 00:00:00,630.68,1
16/01/1993 00:00:00,574.495,1
17/01/1993 00:00:00,533.145,1
18/01/1993 00:00:00,508.367,1
19/01/1993 00:00:00,523.032,1
20/01/1993 00:00:00,546.609,1
21/01/1993 00:00:00,667.353,1
22/01/1993 00:00:00,752.453,1
23/01/1993 00:00:00,663.196,1
24/01/1993 00:00:00,598.14,1
25/01/1993 00:00:00,585.511,1
26/01/1993 00:00:00,597.767,1
27/01/1993 00:00:00,537.69,1
28/01/1993 00:00:00,548.1,1
29/01/1993 00:00:00,554.386,1
30/01/1993 00:00:00,541.268,1
31/01/1993 00:00:00,517.628,1
01/02/1993 00:00:00,480.709,1
02/02/1993 00:00:00,427.298,1
03/02/1993 00:00:00,364.041,1
04/02/1993 00:00:00,370.586,1
05/02/1993 00:00:00,424.427,1
06/02/1993 00:00:00,428.56,1
07/02/1993 00:00:00,404.204,1
08/02/1993 00:00:00,376.744,1
09/02/1993 00:00:00,392.388,1
10/02/1993 00:00:00,668.125,1
11/02/1993 00:00:00,758.996,1
12/02/1993 00:00:00,1162.26,1
13/02/1993 00:00:00,1543.257,1
14/02/1993 00:00:00,1032.607,1
15/02/1993 00:00:00,761.794,1
16/02/1993 00:00:00,582.978,1
17/02/1993 00:00:00,531.286,1
18/02/1993 00:00:00,594.441,1
19/02/1993 00:00:00,847.951,1
20/02/1993 00:00:00,918.864,1
21/02/1993 00:00:00,712.794,1
22/02/1993 00:00:00,607.795,1
23/02/1993 00:00:00,697.02,1
24/02/1993 00:00:00,2410.699,1
25/02/1993 00:00:00,2363.069,1
26/02/1993 00:00:00,1320.324,1
27/02/1993 00:00:00,911.675,1
28/02/1993 00:00:00,705.075,1
01/03/1993 00:00:00,572.01,1
02/03/1993 00:00:00,486.042,1
03/03/1993 00:00:00,410.563,1
04/03/1993 00:00:00,351.296,1
05/03/1993 00:00:00,338.768,1
06/03/1993 00:00:00,342.274,1
07/03/1993 00:00:00,328.607,1
08/03/1993 00:00:00,587.111,1
09/03/1993 00:00:00,1062.081,1
10/03/1993 00:00:00,2981.565,1
11/03/1993 00:00:00,5266.018,1
12/03/1993 00:00:00,6731.754,1
13/03/1993 00:00:00,4078.687,1
14/03/1993 00:00:00,2508.418,1
15/03/1993 00:00:00,1708.03,1
16/03/1993 00:00:00,1335.249,1
17/03/1993 00:00:00,1077.606,1
18/03/1993 00:00:00,925.843,1
19/03/1993 00:00:00,812.709,1
20/03/1993 00:00:00,747.862,1
21/03/1993 00:00:00,1039.618,1
22/03/1993 00:00:00,1020.949,1
23/03/1993 00:00:00,811.034,1
24/03/1993 00:00:00,682.357,1
25/03/1993 00:00:00,676.838,1
26/03/1993 00:00:00,2794,1
27/03/1993 00:00:00,1942.639,1
28/03/1993 00:00:00,1544.386,1
29/03/1993 00:00:00,1423.431,1
30/03/1993 00:00:00,1085.129,1
31/03/1993 00:00:00,853.524,1
01/04/1993 00:00:00,744.386,1
02/04/1993 00:00:00,705.755,1
03/04/1993 00:00:00,667.214,1
04/04/1993 00:00:00,618.1,1
05/04/1993 00:00:00,586.847,1
06/04/1993 00:00:00,565.526,1
07/04/1993 00:00:00,549.475,1
08/04/1993 00:00:00,509.944,1
09/04/1993 00:00:00,534.816,1
10/04/1993 00:00:00,570.713,1
11/04/1993 00:00:00,541.873,1
12/04/1993 00:00:00,479.097,1
13/04/1993 00:00:00,451.832,1
14/04/1993 00:00:00,411.468,1
15/04/1993 00:00:00,384.124,1
16/04/1993 00:00:00,398.284,1
17/04/1993 00:00:00,413.643,1
18/04/1993 00:00:00,411.479,1
19/04/1993 00:00:00,423.833,1
20/04/1993 00:00:00,424.252,1
21/04/1993 00:00:00,385.829,1
22/04/1993 00:00:00,351.328,1
23/04/1993 00:00:00,341.507,1
24/04/1993 00:00:00,356.342,1
25/04/1993 00:00:00,348.76,1
26/04/1993 00:00:00,339.126,1
27/04/1993 00:00:00,341.587,1
28/04/1993 00:00:00,338.239,1
29/04/1993 00:00:00,304.433,1
30/04/1993 00:00:00,296.556,1
01/05/1993 00:00:00,326.215,1
02/05/1993 00:00:00,331.189,1
03/05/1993 00:00:00,319.081,1
04/05/1993 00:00:00,318.235,1
05/05/1993 00:00:00,315.627,1
06/05/1993 00:00:00,279.021,1
07/05/1993 00:00:00,272.845,1
08/05/1993 00:00:00,307.26,1
09/05/1993 00:00:00,319.074,1
10/05/1993 00:00:00,319.388,1
11/05/1993 00:00:00,320.548,1
12/05/1993 00:00:00,317.854,1
13/05/1993 00:00:00,283.688,1
14/05/1993 00:00:00,276.073,1
15/05/1993 00:00:00,320.833,1
16/05/1993 00:00:00,339.282,1
17/05/1993 00:00:00,341.091,1
18/05/1993 00:00:00,323.772,1
19/05/1993 00:00:00,315.799,1
20/05/1993 00:00:00,280.342,1
21/05/1993 00:00:00,271.502,1
22/05/1993 00:00:00,306.561,1
23/05/1993 00:00:00,310.977,1
24/05/1993 00:00:00,307.551,1
25/05/1993 00:00:00,301.548,1
26/05/1993 00:00:00,304.283,1
27/05/1993 00:00:00,295.751,1
28/05/1993 00:00:00,298.288,1
29/05/1993 00:00:00,348.378,1
30/05/1993 00:00:00,344.965,1
31/05/1993 00:00:00,325.137,1
01/06/1993 00:00:00,329.537,1
02/06/1993 00:00:00,329.395,1
03/06/1993 00:00:00,327.442,1
04/06/1993 00:00:00,407.909,1
05/06/1993 00:00:00,556.453,1
06/06/1993 00:00:00,660.308,1
07/06/1993 00:00:00,632.992,1
08/06/1993 00:00:00,537.864,1
09/06/1993 00:00:00,438.961,1
10/06/1993 00:00:00,385.195,1
11/06/1993 00:00:00,376.865,1
12/06/1993 00:00:00,372.245,1
13/06/1993 00:00:00,372.868,1
14/06/1993 00:00:00,371.855,1
15/06/1993 00:00:00,351.619,1
16/06/1993 00:00:00,368.228,1
17/06/1993 00:00:00,419.909,1
18/06/1993 00:00:00,405.274,1
19/06/1993 00:00:00,381.305,1
20/06/1993 00:00:00,365.401,1
21/06/1993 00:00:00,343.69,1
22/06/1993 00:00:00,345.427,1
23/06/1993 00:00:00,337.085,1
24/06/1993 00:00:00,327.555,1
25/06/1993 00:00:00,356.762,1
26/06/1993 00:00:00,372.997,1
27/06/1993 00:00:00,381.188,1
28/06/1993 00:00:00,365.751,1
29/06/1993 00:00:00,339.233,1
30/06/1993 00:00:00,317.605,1
01/07/1993 00:00:00,303.01,1
02/07/1993 00:00:00,300.894,1
03/07/1993 00:00:00,319.431,1
04/07/1993 00:00:00,317.107,1
05/07/1993 00:00:00,321.927,1
06/07/1993 00:00:00,327.424,1
07/07/1993 00:00:00,366.648,1
08/07/1993 00:00:00,446.937,1
09/07/1993 00:00:00,615.38,1
10/07/1993 00:00:00,1144.115,1
11/07/1993 00:00:00,1376.805,1
12/07/1993 00:00:00,1097.601,1
13/07/1993 00:00:00,872.157,1
14/07/1993 00:00:00,744.007,1
15/07/1993 00:00:00,650.284,1
16/07/1993 00:00:00,603.363,1
17/07/1993 00:00:00,560.896,1
18/07/1993 00:00:00,521.888,1
19/07/1993 00:00:00,493.613,1
20/07/1993 00:00:00,466.213,1
21/07/1993 00:00:00,422.7,1
22/07/1993 00:00:00,402.566,1
23/07/1993 00:00:00,419.763,1
24/07/1993 00:00:00,418.284,1
25/07/1993 00:00:00,415.566,1
26/07/1993 00:00:00,983.457,1
27/07/1993 00:00:00,759.807,1
28/07/1993 00:00:00,515.174,1
29/07/1993 00:00:00,728.566,1
30/07/1993 00:00:00,840.715,1
31/07/1993 00:00:00,704.34,1
01/08/1993 00:00:00,908.851,1
02/08/1993 00:00:00,702.716,1
03/08/1993 00:00:00,615.715,1
04/08/1993 00:00:00,848.171,1
05/08/1993 00:00:00,786.236,1
06/08/1993 00:00:00,723.443,1
07/08/1993 00:00:00,670.733,1
08/08/1993 00:00:00,681.756,1
09/08/1993 00:00:00,662.749,1
10/08/1993 00:00:00,625.505,1
11/08/1993 00:00:00,581.646,1
12/08/1993 00:00:00,558.787,1
13/08/1993 00:00:00,537.49,1
14/08/1993 00:00:00,558.983,1
15/08/1993 00:00:00,576.572,1
16/08/1993 00:00:00,525.334,1
17/08/1993 00:00:00,514.832,1
18/08/1993 00:00:00,479.288,1
19/08/1993 00:00:00,544.478,1
20/08/1993 00:00:00,650.362,1
21/08/1993 00:00:00,597.999,1
22/08/1993 00:00:00,552.561,1
23/08/1993 00:00:00,511.472,1
24/08/1993 00:00:00,483.431,1
25/08/1993 00:00:00,447.317,1
26/08/1993 00:00:00,435.668,1
27/08/1993 00:00:00,441.827,1
28/08/1993 00:00:00,429.427,1
29/08/1993 00:00:00,417.6,1
30/08/1993 00:00:00,418.983,1
31/08/1993 00:00:00,402.206,1
01/09/1993 00:00:00,419.427,1
02/09/1993 00:00:00,437.599,1
03/09/1993 00:00:00,1062.116,1
04/09/1993 00:00:00,654.008,1
05/09/1993 00:00:00,1053.423,1
06/09/1993 00:00:00,1123.585,1
07/09/1993 00:00:00,957.184,1
08/09/1993 00:00:00,855.974,1
09/09/1993 00:00:00,797.383,1
10/09/1993 00:00:00,1521.316,1
11/09/1993 00:00:00,897.337,1
12/09/1993 00:00:00,1211.829,1
13/09/1993 00:00:00,1217.041,1
14/09/1993 00:00:00,1030.521,1
15/09/1993 00:00:00,2721.419,1
16/09/1993 00:00:00,2258.38,1
17/09/1993 00:00:00,3615.733,1
18/09/1993 00:00:00,2778.384,1
19/09/1993 00:00:00,2214.499,1
20/09/1993 00:00:00,1851.808,1
21/09/1993 00:00:00,1701.469,1
22/09/1993 00:00:00,1484.843,1
23/09/1993 00:00:00,1517.201,1
24/09/1993 00:00:00,1244.681,1
25/09/1993 00:00:00,1114.654,1
26/09/1993 00:00:00,1003.577,1
27/09/1993 00:00:00,905.516,1
28/09/1993 00:00:00,825.977,1
29/09/1993 00:00:00,767.084,1
30/09/1993 00:00:00,731.198,1
01/10/1993 00:00:00,685.022,1
02/10/1993 00:00:00,639.325,1
03/10/1993 00:00:00,609.455,1
04/10/1993 00:00:00,894.298,1
05/10/1993 00:00:00,2488.202,1
06/10/1993 00:00:00,2181.592,1
07/10/1993 00:00:00,5427.187,1
08/10/1993 00:00:00,3518.092,1
09/10/1993 00:00:00,2247.585,1
10/10/1993 00:00:00,1644.289,1
11/10/1993 00:00:00,1348.256,1
12/10/1993 00:00:00,1177.475,1
13/10/1993 00:00:00,1055.498,1
14/10/1993 00:00:00,999.138,1
15/10/1993 00:00:00,932.994,1
16/10/1993 00:00:00,861.046,1
17/10/1993 00:00:00,806.076,1
18/10/1993 00:00:00,763.813,1
19/10/1993 00:00:00,712.39,1
20/10/1993 00:00:00,707.539,1
21/10/1993 00:00:00,724.131,1
22/10/1993 00:00:00,903.019,1
23/10/1993 00:00:00,814.172,1
24/10/1993 00:00:00,684.608,1
25/10/1993 00:00:00,614.098,1
26/10/1993 00:00:00,552.249,1
27/10/1993 00:00:00,501.64,1
28/10/1993 00:00:00,495.36,1
29/10/1993 00:00:00,582.243,1
30/10/1993 00:00:00,566.146,1
31/10/1993 00:00:00,498.535,1
01/11/1993 00:00:00,460.582,1
02/11/1993 00:00:00,434.76,1
03/11/1993 00:00:00,403.479,1
04/11/1993 00:00:00,409.838,1
05/11/1993 00:00:00,419.423,1
06/11/1993 00:00:00,538.103,1
07/11/1993 00:00:00,616.51,1
08/11/1993 00:00:00,572.933,1
09/11/1993 00:00:00,510.467,1
10/11/1993 00:00:00,430.952,1
11/11/1993 00:00:00,386.229,1
12/11/1993 00:00:00,388.717,1
13/11/1993 00:00:00,380.737,1
14/11/1993 00:00:00,410.712,1
15/11/1993 00:00:00,441.436,1
16/11/1993 00:00:00,431.815,1
17/11/1993 00:00:00,513.944,1
18/11/1993 00:00:00,555.744,1
19/11/1993 00:00:00,484.147,1
20/11/1993 00:00:00,429.231,1
21/11/1993 00:00:00,399.054,1
22/11/1993 00:00:00,399.354,1
23/11/1993 00:00:00,397.792,1
24/11/1993 00:00:00,343.23,1
25/11/1993 00:00:00,355.406,1
26/11/1993 00:00:00,339.093,1
27/11/1993 00:00:00,287.766,1
28/11/1993 00:00:00,261.836,1
29/11/1993 00:00:00,238.034,1
30/11/1993 00:00:00,215.578,1
01/12/1993 00:00:00,201.908,1
02/12/1993 00:00:00,172.541,1
